Dataset,ID,essay_content,Orignal_Info,topic,Generated_MEC,Generated_DEV,Generated_VOC,Generated_REL,Generated_ORG,Generated_STY,Generated_STR
ZAEBUC,66,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-193838,**Replace with topic from ZAEBUC**,3,3,3,2,3,2,3
ZAEBUC,67,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-194708,**Replace with topic from ZAEBUC**,2,1,2,1,1,1,3
ZAEBUC,68,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-194718,**Replace with topic from ZAEBUC**,5,4,5,1,4,4,5
ZAEBUC,69,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-195100,**Replace with topic from ZAEBUC**,4,3,3,2,3,3,3
ZAEBUC,70,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-19632,**Replace with topic from ZAEBUC**,4,3,3,1,2,2,2
ZAEBUC,71,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-197835,**Replace with topic from ZAEBUC**,5,5,5,2,5,4,4
ZAEBUC,72,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-197898,**Replace with topic from ZAEBUC**,5,3,3,2,3,3,3
ZAEBUC,73,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-198249,**Replace with topic from ZAEBUC**,5,3,4,1,3,4,2
ZAEBUC,74,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-19883,**Replace with topic from ZAEBUC**,4,3,4,2,4,3,3
ZAEBUC,75,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-199101,**Replace with topic from ZAEBUC**,4,3,4,1,3,4,2
ZAEBUC,76,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-19921,**Replace with topic from ZAEBUC**,3,3,3,2,3,3,2
ZAEBUC,77,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-199634,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,3
ZAEBUC,78,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-199747,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,2
ZAEBUC,79,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-199818,**Replace with topic from ZAEBUC**,3,3,3,2,3,3,2
ZAEBUC,80,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-287997,**Replace with topic from ZAEBUC**,3,2,3,1,3,2,3
ZAEBUC,81,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-288874,**Replace with topic from ZAEBUC**,2,1,3,1,1,2,3
ZAEBUC,82,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-289073,**Replace with topic from ZAEBUC**,2,2,3,2,2,2,3
ZAEBUC,83,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-289115,**Replace with topic from ZAEBUC**,4,1,2,1,1,2,3
ZAEBUC,84,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-289903,**Replace with topic from ZAEBUC**,3,3,3,2,3,2,3
ZAEBUC,85,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-292703,**Replace with topic from ZAEBUC**,1,1,1,1,1,1,1
ZAEBUC,86,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-294255,**Replace with topic from ZAEBUC**,3,3,3,1,3,4,2
ZAEBUC,87,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-68830,**Replace with topic from ZAEBUC**,3,2,3,1,2,2,3
ZAEBUC,88,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-80566,**Replace with topic from ZAEBUC**,4,4,4,2,4,3,3
ZAEBUC,89,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-80816,**Replace with topic from ZAEBUC**,4,3,3,2,3,4,3
ZAEBUC,90,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-80823,**Replace with topic from ZAEBUC**,4,4,4,2,5,4,5
ZAEBUC,91,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-81303,**Replace with topic from ZAEBUC**,4,3,3,1,3,4,3
ZAEBUC,92,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-81425,**Replace with topic from ZAEBUC**,4,3,4,1,2,2,2
ZAEBUC,93,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-81723,**Replace with topic from ZAEBUC**,5,5,5,2,5,4,5
ZAEBUC,94,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-81912,**Replace with topic from ZAEBUC**,1,1,2,1,1,1,1
ZAEBUC,95,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-81924,**Replace with topic from ZAEBUC**,4,3,4,2,4,4,2
ZAEBUC,96,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-81952,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,3
ZAEBUC,97,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-81953,**Replace with topic from ZAEBUC**,4,3,4,2,4,4,2
ZAEBUC,98,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-82310,**Replace with topic from ZAEBUC**,4,3,3,2,3,3,2
ZAEBUC,99,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-82421,**Replace with topic from ZAEBUC**,4,3,3,1,3,3,3
ZAEBUC,100,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-82659,**Replace with topic from ZAEBUC**,4,3,4,2,4,3,3
ZAEBUC,101,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-82673,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,3
ZAEBUC,102,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-82789,**Replace with topic from ZAEBUC**,4,3,4,2,3,3,3
ZAEBUC,103,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-83139,**Replace with topic from ZAEBUC**,3,3,3,1,3,2,3
ZAEBUC,104,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-83165,**Replace with topic from ZAEBUC**,5,3,4,2,4,4,5
ZAEBUC,105,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-83576,**Replace with topic from ZAEBUC**,4,3,4,2,4,3,3
ZAEBUC,106,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-83847,**Replace with topic from ZAEBUC**,1,1,1,1,1,1,1
ZAEBUC,107,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-83934,**Replace with topic from ZAEBUC**,4,3,4,2,4,3,2
ZAEBUC,108,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-84014,**Replace with topic from ZAEBUC**,4,4,5,2,4,4,5
ZAEBUC,109,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-84446,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,5
ZAEBUC,110,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-84488,**Replace with topic from ZAEBUC**,4,3,4,2,3,4,2
ZAEBUC,111,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-84627,**Replace with topic from ZAEBUC**,5,3,4,2,4,4,5
ZAEBUC,112,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-84660,**Replace with topic from ZAEBUC**,4,4,4,2,4,3,3
ZAEBUC,113,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-84687,**Replace with topic from ZAEBUC**,3,2,3,1,2,2,3
ZAEBUC,114,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-84846,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,3
ZAEBUC,115,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-85294,**Replace with topic from ZAEBUC**,5,5,5,2,5,4,5
ZAEBUC,116,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-85331,**Replace with topic from ZAEBUC**,5,3,5,1,5,4,5
ZAEBUC,117,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-85466,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,5
ZAEBUC,118,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-85828,**Replace with topic from ZAEBUC**,2,3,3,1,2,2,2
ZAEBUC,119,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-86032,**Replace with topic from ZAEBUC**,5,4,5,2,5,4,5
ZAEBUC,120,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-86741,**Replace with topic from ZAEBUC**,4,3,3,2,4,3,3
ZAEBUC,121,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-86817,**Replace with topic from ZAEBUC**,5,4,5,2,5,4,5
ZAEBUC,122,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-87139,**Replace with topic from ZAEBUC**,2,2,2,1,2,2,3
ZAEBUC,123,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-87491,**Replace with topic from ZAEBUC**,4,4,4,2,5,4,5
ZAEBUC,124,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-87760,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,5
ZAEBUC,125,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-88375,**Replace with topic from ZAEBUC**,4,3,3,2,2,3,2
ZAEBUC,126,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-88399,**Replace with topic from ZAEBUC**,3,3,4,1,3,3,2
ZAEBUC,127,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-88780,**Replace with topic from ZAEBUC**,3,2,3,1,2,2,2
ZAEBUC,128,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-89064,**Replace with topic from ZAEBUC**,4,4,4,2,5,4,5
ZAEBUC,129,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-89381,**Replace with topic from ZAEBUC**,5,4,4,2,4,4,5
ZAEBUC,130,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-89391,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,5
ZAEBUC,131,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-89415,**Replace with topic from ZAEBUC**,1,1,2,1,1,1,1
ZAEBUC,132,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-89587,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,3
ZAEBUC,133,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-89591,**Replace with topic from ZAEBUC**,4,3,3,1,3,3,2
ZAEBUC,134,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-89653,**Replace with topic from ZAEBUC**,4,3,3,2,3,3,3
ZAEBUC,135,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-89674,**Replace with topic from ZAEBUC**,2,2,3,1,2,2,2
ZAEBUC,136,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-89676,**Replace with topic from ZAEBUC**,5,5,5,2,5,4,5
ZAEBUC,137,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-89774,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,2
ZAEBUC,138,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-90095,**Replace with topic from ZAEBUC**,3,3,3,1,2,2,3
ZAEBUC,139,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-90250,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,3
ZAEBUC,140,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-90308,**Replace with topic from ZAEBUC**,3,3,3,2,3,3,2
ZAEBUC,141,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-90411,**Replace with topic from ZAEBUC**,4,3,4,2,3,3,2
ZAEBUC,142,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-90530,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,5
ZAEBUC,143,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-90626,**Replace with topic from ZAEBUC**,4,4,5,2,4,4,5
ZAEBUC,144,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-90783,**Replace with topic from ZAEBUC**,5,3,4,2,4,4,2
ZAEBUC,145,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-90813,**Replace with topic from ZAEBUC**,5,4,5,2,5,4,5
ZAEBUC,146,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-90873,**Replace with topic from ZAEBUC**,4,3,4,2,4,3,3
ZAEBUC,147,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-91028,**Replace with topic from ZAEBUC**,3,3,3,1,4,2,2
ZAEBUC,148,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-91113,**Replace with topic from ZAEBUC**,5,4,4,2,4,4,5
ZAEBUC,149,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-91241,**Replace with topic from ZAEBUC**,5,4,5,2,5,4,5
ZAEBUC,150,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-91256,**Replace with topic from ZAEBUC**,4,3,3,1,3,4,2
ZAEBUC,151,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-91347,**Replace with topic from ZAEBUC**,5,3,3,2,4,4,2
ZAEBUC,152,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-91705,**Replace with topic from ZAEBUC**,5,3,4,1,3,4,5
ZAEBUC,153,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-92103,**Replace with topic from ZAEBUC**,3,3,4,2,3,3,2
ZAEBUC,154,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-92132,**Replace with topic from ZAEBUC**,5,3,3,2,4,4,2
ZAEBUC,155,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-92245,**Replace with topic from ZAEBUC**,4,3,4,2,4,4,2
ZAEBUC,156,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-92581,**Replace with topic from ZAEBUC**,4,4,4,2,5,4,5
ZAEBUC,157,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-92771,**Replace with topic from ZAEBUC**,4,3,4,2,4,3,3
ZAEBUC,158,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-92844,**Replace with topic from ZAEBUC**,5,4,5,2,4,4,5
ZAEBUC,159,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-92874,**Replace with topic from ZAEBUC**,4,3,4,2,4,3,2
ZAEBUC,160,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-92903,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,2
ZAEBUC,161,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-92956,**Replace with topic from ZAEBUC**,5,4,5,2,5,4,5
ZAEBUC,162,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-92988,**Replace with topic from ZAEBUC**,5,4,5,2,4,4,5
ZAEBUC,163,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-93034,**Replace with topic from ZAEBUC**,4,3,4,1,3,4,2
ZAEBUC,164,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-93037,**Replace with topic from ZAEBUC**,5,4,4,2,5,4,5
ZAEBUC,165,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-93285,**Replace with topic from ZAEBUC**,2,2,2,1,2,2,3
ZAEBUC,166,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-93459,**Replace with topic from ZAEBUC**,5,4,4,2,4,4,5
ZAEBUC,167,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-93749,**Replace with topic from ZAEBUC**,4,3,4,2,3,3,2
ZAEBUC,168,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-94052,**Replace with topic from ZAEBUC**,5,5,5,2,5,4,5
ZAEBUC,169,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-94320,**Replace with topic from ZAEBUC**,5,4,5,2,5,4,5
ZAEBUC,170,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-94968,**Replace with topic from ZAEBUC**,4,4,4,2,5,4,5
ZAEBUC,171,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-94976,**Replace with topic from ZAEBUC**,5,4,4,2,5,4,5
ZAEBUC,172,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-95365,**Replace with topic from ZAEBUC**,5,4,5,2,5,4,5
ZAEBUC,173,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-95601,**Replace with topic from ZAEBUC**,5,4,5,2,5,4,5
ZAEBUC,174,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-95626,**Replace with topic from ZAEBUC**,5,5,5,2,5,4,5
ZAEBUC,175,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-95796,**Replace with topic from ZAEBUC**,5,4,4,2,4,4,5
ZAEBUC,176,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-95921,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,5
ZAEBUC,177,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-95973,**Replace with topic from ZAEBUC**,3,2,3,1,2,2,3
ZAEBUC,178,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-96120,**Replace with topic from ZAEBUC**,5,5,5,2,5,4,5
ZAEBUC,179,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-96463,**Replace with topic from ZAEBUC**,5,4,4,2,4,4,5
ZAEBUC,180,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-96479,**Replace with topic from ZAEBUC**,5,5,5,2,5,4,5
ZAEBUC,181,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-96682,**Replace with topic from ZAEBUC**,5,4,5,2,5,4,5
ZAEBUC,182,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-96735,**Replace with topic from ZAEBUC**,4,3,4,2,3,4,3
ZAEBUC,183,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-96882,**Replace with topic from ZAEBUC**,4,3,4,2,4,3,3
ZAEBUC,184,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-96883,**Replace with topic from ZAEBUC**,5,4,5,2,5,4,5
ZAEBUC,185,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-97035,**Replace with topic from ZAEBUC**,5,4,4,2,4,4,5
ZAEBUC,186,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-97236,**Replace with topic from ZAEBUC**,4,4,3,2,5,3,2
ZAEBUC,187,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-97412,**Replace with topic from ZAEBUC**,5,5,4,2,4,4,5
ZAEBUC,188,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-97455,**Replace with topic from ZAEBUC**,5,4,4,2,4,4,5
